L,Teff,R,mass,logg,isWR,mass_current,phase,m_hst_f127m,m_hst_f139m,m_hst_f153m
8.660109049222469e+24,2997.482453641835,388005485.0572275,0.10453344357652604,3.9612326726415286,False,0.10453334681447356,-1.0,16.727696671428152,16.787789403024092,16.515055156204696
9.046193280874383e+24,3008.7858260184175,393586203.05452365,0.10865762372742009,3.963353308804405,False,0.10865752246109488,-1.0,16.686493229275282,16.740468636251634,16.46805642753648
9.449142476745298e+24,3020.1687795233192,399230079.1926205,0.11278381250406873,3.9655182434245786,False,0.11278370664858894,-1.0,16.646038109949114,16.693497759526657,16.42139743575911
9.869958611246552e+24,3031.631609685951,404943373.21420836,0.1169124245673875,3.9677164074270403,False,0.11691231403916177,-1.0,16.605670083939668,16.646726162735565,16.37494389924228
1.076707529684324e+25,3054.6500837349886,416596313.60809875,0.12517549957397262,3.972175254025786,False,0.12517537945646895,-1.0,16.525234703547454,16.553888273359526,16.282756301295564
1.0829426036763875e+25,3065.3879429582494,414878867.3751308,0.1270560718095674,3.9887373288448633,False,0.1270559479555079,-1.0,16.52620218232071,16.54850046296991,16.278402709505237
1.1480726894593663e+25,3078.908328291189,423429059.6534127,0.1321278232648609,3.98840393472652,False,0.1321276935518705,-1.0,16.470987621192183,16.48660723335118,16.216779328570773
1.221834686575575e+25,3093.002145149403,432847851.75579524,0.13763389379256727,3.9875729618734534,False,0.137633757674392,-1.0,16.41192444646834,16.420787509257472,16.151203145121226
1.3043887291289771e+25,3107.5858797888227,443043861.5157024,0.14359192433886336,3.9864298586777975,False,0.14359178122250651,-1.0,16.347879565488434,16.350322287818642,16.080234823392274
1.3956010100862058e+25,3122.5861578385725,453880224.4602544,0.15002317240245913,3.9852090131786375,False,0.1500230216394652,-1.0,16.279921652555153,16.276311872353,16.005042875797738
1.4842004291527877e+25,3137.8937956158966,463510182.48269266,0.1580472305771426,3.9870232856323202,False,0.15804706999198462,-1.0,16.218887284681994,16.209188644824643,15.93694323825149
1.5799368189392418e+25,3153.450932695796,473518758.3597124,0.16616466833375884,3.9887511113561707,False,0.166164497661326,-1.0,16.15701038152662,16.141349465935292,15.868156770724044
1.712578943731873e+25,3173.4064944370375,486814349.79498595,0.17560676874431227,3.991793946974031,False,0.17560658552874137,-1.0,16.077348584531343,16.05432731113832,15.780046874818773
1.8236455049381975e+25,3189.2736920033017,497366022.49841493,0.1838101200250014,3.993233741755645,False,0.18380992639012755,-1.0,16.015457752702943,15.986845424899132,15.711689163109586
1.9361065484234454e+25,3204.4843171796333,507618930.5079565,0.1918200900476604,3.99437461127127,False,0.19181988621569085,-1.0,15.956987437613346,15.922418816622057,15.646216580693196
2.04896940993574e+25,3218.9572254271643,517519608.7080083,0.19961706641980637,3.995268365508464,False,0.1996168526271464,-1.0,15.902500832580092,15.860692679599628,15.583011712074216
2.4660368656837004e+25,3269.331160310882,550391145.5806093,0.23000448240345664,4.0034056868496535,False,0.23000422825501898,-1.0,15.726314145889548,15.660885837957627,15.37877901315296
2.5400036507017526e+25,3276.681779511056,556081083.6512421,0.2352651448515765,4.003889460734692,False,0.2352648836081727,-1.0,15.697900925813512,15.629232362497037,15.346481259135745
