wavelength,spectrum,spectrum_dusty
995.0,0.0033242968642473586,0.000166656198479666
1005.0,0.004193000503570034,0.00021979413628453
1015.0,0.002709329793885377,0.000148171104405686
1025.0,0.00015522204459666187,8.838224368614736e-06
1035.0,0.0015539156790138938,9.193972369654727e-05
1045.0,0.00491097450540195,0.00030137877135313006
1055.0,0.005646535349239922,0.00035879711960892666
1065.0,0.004832297963451172,0.00031742391076575074
1075.0,0.0056333049983808255,0.0003819503132436591
1085.0,0.004686206665395185,0.00032749160062280584
1095.0,0.00563377267153322,0.00040525364046886225
1105.0,0.005598245932299392,0.0004139769704954053
1115.0,0.005352982672646365,0.0004064397508707336
1125.0,0.005343799956668707,0.00041613665703851073
1135.0,0.0059645181254418525,0.00047586505031553425
1145.0,0.005434544195463311,0.00044376967335441584
1155.0,0.005681277440503347,0.00047436698826203714
1165.0,0.0060994395892135225,0.000520287382226972
1175.0,0.005439524011339679,0.00047362180998498867
1185.0,0.005607659179404955,0.0004979923367478738
1195.0,0.0027381852637278934,0.00024782550651018245
1205.0,0.0019173456553293821,0.000176732117921065
1215.0,0.00019549085195270935,1.8339183620666122e-05
1225.0,0.0016689180165116249,0.00015923901133399165
1235.0,0.0048480499543826815,0.0004701969057869681
1245.0,0.006022778797967075,0.000593415806814366
1255.0,0.005908310765015039,0.0005910708375417482
1265.0,0.004413440590465823,0.00044806847821097286
1275.0,0.006310994750302664,0.0006498968366980771
1285.0,0.006694796967661806,0.000698977376953487
1295.0,0.005757327565402998,0.0006091661235236549
1305.0,0.005387431021880914,0.0005774380547631744
1315.0,0.006399019197585392,0.0006945043628696199
1325.0,0.0062096493966572065,0.0006821882771622139
1335.0,0.0055592233413640935,0.000617977751432567
1345.0,0.006443540865854174,0.0007245336273250021
1355.0,0.006134267510211756,0.0006974818869298363
1365.0,0.005606886294983806,0.0006444603051423524
1375.0,0.0059030281651664095,0.0006856902174942416
1385.0,0.006035582434645424,0.0007083234292009778
1395.0,0.005920520166828137,0.0007018076443187649
1405.0,0.006008368100605301,0.0007192047934818483
1415.0,0.005639713605126074,0.000681534940601726
1425.0,0.005727378879440545,0.0006985929228544942
1435.0,0.005552827901410112,0.0006834810887372344
1442.0,0.005792753961260939,0.0007174722789983444
1447.0,0.005879240064100119,0.0007313908585329075
1455.0,0.0057431524818615165,0.0007194301037881076
1465.0,0.005473678293657286,0.0006915245814525546
1475.0,0.005316653899593625,0.0006772982938991909
1485.0,0.005310373419902122,0.0006820348847594495
1495.0,0.005366081227463184,0.0006947183470850609
1505.0,0.005241693642683438,0.0006839532423814968
1512.0,0.004917660318167065,0.0006451452336195397
1517.0,0.005155354194497693,0.0006789117570561484
1525.0,0.004862634702029051,0.0006442354581771864
1535.0,0.0045144523033728975,0.0006025576173805462
1545.0,0.004964931447951319,0.0006675314623477773
1555.0,0.004637299440354194,0.0006279650569005796
1565.0,0.004479634864211254,0.0006109054669043602
1575.0,0.004603904039509014,0.0006322227511235321
1585.0,0.004757988588515978,0.0006578595878355389
1595.0,0.004857184853567115,0.0006761076911173561
1605.0,0.0046017622625172715,0.0006448136372037372
1615.0,0.004615047937356025,0.0006509148668907223
1625.0,0.00435077798810799,0.0006176090936705723
1635.0,0.004459176984475308,0.0006370341479170825
1645.0,0.004452466925231683,0.0006400795341195219
1655.0,0.00407271659361491,0.0005891258967199997
1665.0,0.004423242893169469,0.0006437573927601921
1672.0,0.004082484495527523,0.0005966878847669296
1677.0,0.004254167541434248,0.0006236531479976903
1685.0,0.004421284328454032,0.0006512543204809126
1695.0,0.004217293972868608,0.0006248873063938061
1705.0,0.004043764048282252,0.0006026858703068332
1715.0,0.0038733547270972416,0.00058063424599755
1725.0,0.003818441086637907,0.000575685726366166
1735.0,0.003967084134336438,0.000601491597245427
1745.0,0.0038483589408175663,0.0005867704482294048
1755.0,0.004034154945651292,0.0006185237007152153
1765.0,0.003672469250893951,0.0005661747430469718
1775.0,0.0038705921816151708,0.0005999796672618887
1785.0,0.0038624805134159492,0.0006019649658091979
1795.0,0.00396857489026455,0.0006218204767518978
1805.0,0.003898405545698662,0.0006140778002273349
1815.0,0.003745947352117482,0.0005931780435351118
1825.0,0.003725721643818104,0.0005930653088943064
1835.0,0.00360079078371552,0.0005761572359754028
1845.0,0.0034146382742396477,0.0005491888595180717
1855.0,0.003357692298592024,0.0005427942027485857
1865.0,0.0033870578273284078,0.0005503235952094254
1875.0,0.003569231419871171,0.0005828487418528214
1885.0,0.003381205030374662,0.0005549108072050987
1895.0,0.003267934752338843,0.0005389902495986447
1905.0,0.003384183197375868,0.0005609226975320666
1915.0,0.003267778236100016,0.0005442889420120634
1925.0,0.003231618168267761,0.0005408929485639517
1935.0,0.0032604448518526487,0.0005483645977946564
1945.0,0.003320869055118732,0.0005612196326789947
1955.0,0.003166062488646214,0.0005376216620711842
1967.0,0.003307438087820846,0.0005648387953819657
1976.0,0.003335414858830509,0.0005720423948699102
1984.0,0.003207620940078949,0.000552197097002053
1995.0,0.0030877387114363135,0.0005342997061162916
2005.0,0.0031322472098330102,0.000544526782364261
2015.0,0.0030233577917741197,0.0005280328339771739
2025.0,0.0031287528828882346,0.0005489596271392184
2035.0,0.0030164004166819474,0.0005316743640173305
2045.0,0.0030422984722680148,0.000538686610479275
2055.0,0.0029119269376754312,0.000517943909520311
2065.0,0.0029346526533548405,0.0005243452310514878
2074.0,0.002987735287701343,0.0005359907161314306
2078.0,0.0029323749167976297,0.0005270017376463606
2085.0,0.0029739438653466716,0.0005361450154980797
2095.0,0.002845446576659825,0.0005152652276607987
2105.0,0.0028641235391713626,0.0005209478320128392
2115.0,0.0028464828194761454,0.0005200253363800255
2125.0,0.0028590844387583934,0.0005246236711986323
2135.0,0.002710356947000586,0.0004995098069076253
2145.0,0.002761348500429062,0.0005111250743728748
2155.0,0.002782163197558172,0.0005172124248187848
2165.0,0.002680873375382721,0.000500535757023822
2175.0,0.0026492814710508054,0.0004967656627272161
2185.0,0.002603575903735675,0.0004902873567470654
2195.0,0.002680794819351814,0.0005069830597267508
2205.0,0.0025893059751552388,0.0004917622839684153
2215.0,0.0024964825244209836,0.00047614036484880926
2225.0,0.0024061905752089633,0.00046085454519744135
2235.0,0.0025426270534941262,0.0004890314117089421
2245.0,0.0024209065586882693,0.0004675685661369967
2255.0,0.0023589294509014066,0.0004574972186316538
2265.0,0.002370774411510589,0.000461703416161319
2275.0,0.00242145443861431,0.0004735236975094912
2285.0,0.002439003225332408,0.0004789207328147139
2295.0,0.0023484721302663466,0.00046303720356671445
2305.0,0.0022968983140477708,0.00045472087866267987
2315.0,0.00223116284528797,0.00044350707831296017
2325.0,0.0019103228008012945,0.00038127276413804184
2335.0,0.00214352160291851,0.00042954658337265405
2345.0,0.002056995575256139,0.0004138689531650332
2355.0,0.0021364307432248176,0.00043157786666829224
2365.0,0.00202446599517429,0.000410596753645297
2375.0,0.002058715864559736,0.00041920842133580144
2385.0,0.0019436808416853526,0.0003973571575419697
2395.0,0.002045087804037516,0.00041974403559414303
2405.0,0.001960163603774492,0.0004039014614576999
2415.0,0.0019753576778891936,0.00040863302843600826
2425.0,0.0020154150767849243,0.0004185535010314702
2435.0,0.0019253220415421757,0.00040140501606437
2445.0,0.002004552828428307,0.000419550344189281
2455.0,0.0019528604017482604,0.00041031671296811514
2465.0,0.0019370533191369324,0.0004085689190854454
2475.0,0.0018776667929628916,0.00039756886824376665
2485.0,0.001957814545251193,0.00041613081523525833
2495.0,0.0018999512941802962,0.00040537755996699595
2505.0,0.0019701465139023576,0.0004219579117883577
2513.0,0.0018748935929583086,0.0004027782133534829
2518.0,0.0019046294858632348,0.0004099418718152497
2525.0,0.001811465383304424,0.0003909227336382421
2535.0,0.0018055939618836715,0.00039112714141773967
2545.0,0.0017784798957417084,0.00038670375731515206
2555.0,0.0018364580178627757,0.00040080823719177366
2565.0,0.0018119509832604372,0.00039693824215124605
2575.0,0.0018720298280439562,0.0004116279118966185
2585.0,0.0018638891855807093,0.0004113603370021387
2595.0,0.0018539923023214455,0.000410691086081369
2605.0,0.0017902275558620566,0.00039802961596975827
2615.0,0.0017768387712033629,0.0003965060105770276
2625.0,0.001784736537714849,0.00039972867177522645
2635.0,0.0017891598768907647,0.00040218384711161964
2645.0,0.001860450373535517,0.0004197326297564293
2655.0,0.0018439879980912104,0.00041752915451612633
2665.0,0.0017750243473135874,0.0004033685493932387
2675.0,0.0018045755974116268,0.0004115634078466892
2685.0,0.0017860382118544127,0.0004088004375773462
2695.0,0.001747350183968346,0.000401378851156442
2705.0,0.0017490181573450545,0.00040319747536233245
2715.0,0.0016976412558401533,0.00039274747329810225
2725.0,0.0016866102635781318,0.00039158069641573995
2735.0,0.0017268443001457851,0.0004023405994300743
2745.0,0.0016117160200307705,0.00037684125977635623
2755.0,0.0016020948346797707,0.000375908821415085
2765.0,0.0016323538203940051,0.00038435108898370886
2775.0,0.0016599150457334887,0.0003922061159057876
2785.0,0.0016429109401368362,0.0003895402968362748
2795.0,0.0014650923252273126,0.00034858479192993134
2805.0,0.001530958447368732,0.00036551663077684577
2815.0,0.0016353037085547954,0.0003917758825064148
2825.0,0.0016226538099335679,0.0003900820326874006
2835.0,0.0015765225651085846,0.00038029125586947133
2845.0,0.0015379150325134437,0.0003722458472166913
2855.0,0.0015366186658763638,0.00037319885996596816
2865.0,0.0015685645715904418,0.0003822509919918881
2875.0,0.0015458579607496568,0.00037799248906370805
2885.0,0.001548106718522449,0.0003798194566426741
2895.0,0.001540635249375428,0.0003792575669931845
2910.0,0.0015682543633214556,0.0003879979894902593
2930.0,0.0015237154747606257,0.0003794945741388042
2950.0,0.0014973845828355613,0.0003754097941271654
2970.0,0.0014846208316535868,0.00037466255973421145
2990.0,0.001466490805578426,0.0003725106354588992
3010.0,0.0014603964415821067,0.00037337642389758855
3030.0,0.001441917511047059,0.00037103567223454757
3050.0,0.0014169349978676935,0.00036694988267947756
3070.0,0.0013953751669680786,0.00036367375813272024
3090.0,0.0013835881227916428,0.00036288969948903107
3110.0,0.00136094646603458,0.0003592018042265394
3130.0,0.001336426355442881,0.00035494010849444177
3150.0,0.001320194223632029,0.0003528121206845605
3170.0,0.0013047685535956476,0.00035084713225997527
3190.0,0.001262820432833393,0.0003416552550522338
3210.0,0.0012629767756198488,0.0003437853069065237
3230.0,0.0012366787342131854,0.0003386708219744128
3250.0,0.0012372914103700938,0.00034088307727671877
3270.0,0.0012342809428139976,0.0003420926524218178
3290.0,0.0012173810224393419,0.00033941916788374714
3310.0,0.0011986663844867195,0.0003361802713046088
3330.0,0.001181513506694488,0.0003333194863452259
3350.0,0.0011578770876246507,0.00032856156195177434
3370.0,0.001128512377553255,0.0003220899518788562
3390.0,0.0011183944854740574,0.0003210456609602888
3410.0,0.0011106411968502036,0.00032064981579316593
3430.0,0.0011011569817036388,0.00031972491401645043
3450.0,0.0010896174936794267,0.0003181676652783186
3470.0,0.001076496670010766,0.00031610706871789936
3490.0,0.001070915051309434,0.0003162284939388562
3510.0,0.0010655274709297359,0.00031638807913229443
3530.0,0.0010415010865814115,0.00031096377515427143
3550.0,0.0010393338945896358,0.0003120218505141283
3570.0,0.0009978729089395028,0.00030121065591904954
3590.0,0.0009875678565906204,0.0002997178915167694
3601.8274,0.000992542112080087,0.0003021885078923948
3602.7275,0.0009793936116926948,0.00029825747311203535
3603.6279,0.0009720450835520608,0.0002960912315072502
3604.528,0.0009683507324474971,0.0002950372358856933
3605.4282,0.000963743765773323,0.00029370457831325323
3606.3286,0.0009656517764551506,0.00029435719931471266
3607.2287,0.0009746959366643257,0.0002971858952460444
3608.1291,0.0009767549606239463,0.00029788565438039184
3609.0292,0.0009656017242153611,0.0002945553107229152
3609.9293,0.0009533073336483373,0.000290875130415015
3610.8297,0.0009484091942811432,0.00028945046441711004
3611.7299,0.0009498038806251712,0.00028994606599594094
3612.6302,0.0009525459086514336,0.0002908532796803588
3613.5304,0.0009502877255249155,0.00029023373893618257
3614.4305,0.0009496864629943922,0.00029012002853547015
3615.3309,0.0009612323017616726,0.00029371796695493825
3616.231,0.0009737110525777334,0.00029760271264362396
3617.1314,0.0009728250876574122,0.0002974035734198661
3618.0315,0.0009546972710841406,0.00029193197989534287
3618.9317,0.0009297387757784657,0.00028436850130142606
3619.832,0.0009202787736750067,0.000281542839492316
3620.7322,0.0009284457298920405,0.00028410972517154564
3621.6326,0.0009443858372659961,0.0002890570273834386
3622.5327,0.0009614896164841474,0.00029436291247510437
3623.4328,0.0009703159522285618,0.0002971365395468504
3624.3332,0.0009657914673360429,0.00029582212812266916
3625.2333,0.0009637328095203193,0.0002952624891081982
3626.1337,0.0009747881470192845,0.00029872131814791334
3627.0339,0.0009896719778528132,0.0003033552698590451
3627.934,0.0009945532006347898,0.0003049246557595682
3628.8344,0.0009931392239886675,0.0003045642442135266
3629.7345,0.0009865643731724954,0.00030262054158010176
3630.6349,0.0009673082772488295,0.0002967850912025785
3631.535,0.000936788708144599,0.0002874901443072478
3632.4351,0.0009197552067141686,0.00028233042175253417
3633.3355,0.000927334091330954,0.00028472510502654366
3634.2357,0.000937019533871717,0.0002877678304828471
3635.136,0.0009405229679681747,0.0002889129764089392
3636.0362,0.0009466092264190285,0.0002908522182136066
3636.9363,0.000957444874151393,0.0002942519771748794
3637.8367,0.0009648408573599817,0.0002965959845793987
3638.7368,0.0009723359616631345,0.00029897153141515134
3639.6372,0.000982296489422725,0.00030210644607332705
3640.5373,0.0009870514522037975,0.0003036414388666457
3641.4375,0.0009830970147798551,0.0003024972689283843
3642.3379,0.0009743851622109944,0.0002998883320153028
3643.238,0.0009691983281933085,0.0002983632476274635
3644.1384,0.0009674139116163519,0.0002978850901251918
3645.0385,0.0009598300814673836,0.0002956204678208744
3645.9386,0.0009501853195572317,0.00029271982439001094
3646.839,0.0009454888965354052,0.0002913425620565245
3647.7391,0.0009401497993492591,0.0002897665025162042
3648.6395,0.0009352523267387598,0.0002883258250729415
3649.5397,0.0009397135916096124,0.00028977027155590186
3650.4398,0.0009470216246972396,0.00029209340305679735
3651.3402,0.0009505651160429664,0.000293256241351497
3652.2403,0.0009560807517896816,0.00029502814060654845
3653.1407,0.0009669132208575325,0.0002984419351853638
3654.0408,0.0009742808610926219,0.00030078760713092426
3654.941,0.0009758510970622099,0.0003013441212992497
3655.8413,0.000977072481095269,0.00030179311994622593
3656.7415,0.0009790172410426695,0.0003024657732121688
3657.6419,0.0009819946351735458,0.00030345783217247365
3658.542,0.0009847615146637311,0.00030438523289543406
3659.4421,0.0009878877509712212,0.00030542413943611835
3660.3425,0.0009893857150620321,0.00030595999613591027
3661.2426,0.0009863967685152177,0.00030510817330314837
3662.143,0.0009818715739944683,0.0003037806336402863
3663.0432,0.0009760367518773128,0.0003020471288322078
3663.9433,0.0009716969594420637,0.0003007755217486739
3664.8437,0.0009708763556637792,0.0003005928732528474
3665.7438,0.0009767823843503621,0.00030249320339244495
3666.6442,0.0009781063081717055,0.0003029750844426939
3667.5443,0.0009738186203329832,0.0003017184861182159
3668.4445,0.0009712897846575014,0.0003010063377682935
3669.3448,0.0009645640873217871,0.0002989928914251682
3670.245,0.0009592482313619526,0.0002974155684064851
3671.1453,0.0009639914613125484,0.00029895703483029764
3672.0455,0.000974196024846961,0.0003021932801342818
3672.9456,0.000978338984676961,0.00030355027356893696
3673.846,0.0009738419711553845,0.0003022265283066837
3674.7461,0.0009722835047031354,0.0003018142735149449
3675.6465,0.000978391072705182,0.00030378204877111746
3676.5466,0.0009788677492707889,0.000304001937336907
3677.4468,0.0009612903159911834,0.00029861360279138574
3678.3472,0.0009434343309984955,0.0002931361497427069
3679.2473,0.0009330927445998272,0.0002899914119371164
3680.1477,0.0009244815568535659,0.00028738308466035224
3681.0478,0.0009274901610242099,0.0002883864332232023
3681.9479,0.0009388041658223474,0.00029197324599274647
3682.8483,0.0009419881199116805,0.00029303265307657186
3683.7485,0.0009405229665360729,0.00029264592890335675
3684.6488,0.0009413187670542407,0.00029296266158412696
3685.549,0.0009325101056293297,0.0002902896394386341
3686.4491,0.0009159177017412698,0.00028519166956598844
3687.3495,0.0008993956859957567,0.00028011320522932433
3688.2496,0.0008955158194514921,0.0002789705653303267
3689.15,0.0009130010472003175,0.0002844845853518418
3690.0501,0.0009334101660115746,0.0002909124254445262
3690.9503,0.0009407288685899211,0.00029326246474921115
3691.8507,0.0009411455814304926,0.00029346146064804105
3692.7508,0.0009411444784723351,0.0002935301808042911
3693.6512,0.000938628718612604,0.0002928144490702628
3694.5513,0.000940363661708781,0.0002934246827394031
3695.4514,0.0009425201195658428,0.00029416672571345927
3696.3518,0.0009311225944011811,0.00029067782338995456
3697.252,0.0009099885112683162,0.00028414695744074825
3698.1523,0.0009002259396354329,0.000281164621547219
3699.0525,0.0009185705302286053,0.0002869615231413505
3699.9526,0.0009496001054720943,0.00029672482715290514
3700.853,0.0009690284845472756,0.0003028667875989788
3701.7531,0.0009659647070408202,0.00030198006994661613
3702.6535,0.0009441815909724795,0.00029523950674566055
3703.5536,0.0009043969259017985,0.000282865432676066
3704.4538,0.0008589218490607723,0.00026870533694870884
3705.3541,0.0008356881301397179,0.00026149819781628016
3706.2543,0.0008499422169523437,0.0002660208354355792
3707.1547,0.0008912026669501794,0.00027900019627931204
3708.0548,0.0009242767436236672,0.0002894221561255183
3708.9549,0.0009285204333929282,0.0002908190852365731
3709.8553,0.0009115400203641802,0.00028556756262359054
3710.7554,0.000888496993130625,0.0002784137820478816
3711.6558,0.0008638279934189405,0.0002707470171457857
3712.556,0.0008464211499599022,0.00026535330570352306
3713.4561,0.0008594563251131312,0.0002695028467962219
3714.3565,0.0009051737594090855,0.0002839050094591033
3715.2566,0.0009528171632357307,0.00029891806698180407
3716.157,0.0009818254234550032,0.00030809054209362456
3717.0571,0.0009963509738864936,0.0003127216002817628
3717.9573,0.0009964081272626562,0.0003128125813614797
3718.8576,0.0009721249280473466,0.00030526037591368935
3719.7578,0.0009208568372415006,0.0002892290004321763
3720.6582,0.0008555779615365995,0.00026878849042734327
3721.5583,0.0007990128938893786,0.0002510765568393732
3722.4584,0.0007673500996426757,0.00024118328167545747
3723.3588,0.0007799307798816372,0.0002451946454482544
3724.2589,0.0008363790311155139,0.00026300213359602023
3725.1593,0.0009060957356769201,0.00028499119462177145
3726.0595,0.000966037429812325,0.00030391523987482745
3726.9596,0.0009975502573280567,0.00031390225801700887
3727.86,0.0010000102827468836,0.0003147496504522022
3728.7601,0.0009999023360793052,0.0003147889277040858
3729.6605,0.0010054027805197197,0.00031659425326006424
3730.5606,0.000995812516000103,0.0003136472937105573
3731.4608,0.000959455468898664,0.0003022663410692301
3732.3611,0.0009121463299577071,0.0002874289224842906
3733.2613,0.0008536167144478332,0.0002690480250636698
3734.1617,0.0007877411028510745,0.0002483426699500726
3735.0618,0.0007420418103054227,0.0002339898909862062
3735.9619,0.000747748625385678,0.00023584419654558428
3736.8623,0.0007995821696008312,0.0002522513674491017
3737.7624,0.0008693056673038557,0.00027431132346471607
3738.6628,0.0009434961365367972,0.00029779140086307266
3739.563,0.0010105654492530355,0.00031903418756873913
3740.4631,0.001060982855928538,0.0003350285809548488
3741.3635,0.0010951206966432398,0.0003458885590211739
3742.2636,0.0011081745183644826,0.0003500926777281144
3743.164,0.0010994976243761327,0.0003474320081008489
3744.0641,0.0010779699050755107,0.0003407083439304231
3744.9643,0.0010559762746431894,0.00033383424081863085
3745.8646,0.001025872509960832,0.00032439240692063294
3746.7648,0.0009871376266723626,0.00031221626510365423
3747.6652,0.0009454259517000251,0.0002990927336762567
3748.5653,0.0008902185126985771,0.0002816925932446664
3749.4654,0.0008195799862787381,0.0002594003674963605
3750.3658,0.0007676438234754644,0.00024301856055064367
3751.2659,0.0007688873876901651,0.00024346851229237315
3752.1663,0.000822873222009088,0.00026062338500963016
3753.0665,0.0008984368298653872,0.00028462191398330536
3753.9666,0.0009709438950443669,0.00030766296511834277
3754.867,0.0010381754970930207,0.0003290426271481756
3755.7671,0.0010934026946154724,0.0003466265080144986
3756.6675,0.0011275506366452276,0.0003575344836007054
3757.5676,0.0011334102408705165,0.00035947542054399063
3758.4678,0.0011217446897922086,0.0003558576131168178
3759.3681,0.001117192472718734,0.00035449522904205727
3760.2683,0.0011279139924125026,0.0003579797776901427
3761.1687,0.0011416995465163898,0.0003624386038642362
3762.0688,0.0011486756293196025,0.0003647372144471391
3762.9689,0.0011500851771770418,0.0003652689012829189
3763.8693,0.0011383716845497977,0.00036163195976817895
3764.7694,0.0011209776933112335,0.0003561883066928775
3765.6698,0.0011076454415843836,0.0003520330391098155
3766.57,0.0010810113397213782,0.000343647218756777
3767.4701,0.001027539734516399,0.0003267240420308719
3768.3705,0.0009683084742884049,0.00030796126267308845
3769.2706,0.0009201823182726149,0.0002927224777567278
